Author	DOB
C.J. van Veen	20ste eeuw
Lia van Gemert	1958
C.J. de Haan	16de eeuw
Meinardus Siderius Wal	1793
Helga Bister-Broosen	1947
C.L.J. de Bot	20ste eeuw
Herman Giesbers	1954
J.L.C. van der Staak	20ste eeuw
L.M.J. van de Pol	20ste eeuw
M. Everaert	1953
Clara Strijbosch	1956
Jan de Roder	29 mei 1958
Jacqueline Frijn	20ste eeuw
Lisan van Beurden	20ste eeuw
Ingeborg van der Geest	20ste eeuw
Ad Leerintveld	1952
Paul Gillaerts	1954
T.-M. Nischik	20ste eeuw
Jan Dekker	?
Jan Bethlehem	20ste eeuw
Rudi Hendrickx	20ste eeuw
Johan Rooryck	20ste eeuw
Philippe Hiligsmann	1964
Jacqueline de Man	1958
Jan Laboyrie	20ste eeuw
G.F. van der Ree-Scholtens	20ste eeuw
Jan van Gijsen	29 mei 1668
Hanneke Houtkoop-Steenstra	5 mei 1950
Rik Sanders	20ste eeuw
Piet Verhoeff	20ste eeuw
Wim de Haas	1957
Theodoor Rodenburg	1578
Jan Knol	12 mei 1937
Jan Biezen	1942
Jan Don	1963
Marijke Spies	5 augustus 1934
Wim van Anrooij	1957
Leo Lentz	1952
Hanneke Eggels	6 april 1946
Veerle Uyttersprot	20ste eeuw
Johan Th. Veenhof	25 juni 1951
Willem Noomen	20 oktober 1923
Ben Salemans	10 december 1955
Arthur Dirksen	1956
István Bejczy	1965
Anneke C.G. Fleurkens	1947
Ton van Strien	12 oktober 1951
P.R.F. Verhoeven	20ste eeuw
Jan Willem Klein	20ste eeuw
Luc Herman	20ste eeuw
Marit Monteiro	1964
Frank van Lamoen	1959
Marcel Bax	1951
Geert Warnar	14 februari 1962
Theo Bijvoet	1957
Annie van den Oever	1957
Annelies van Gijsen	1953
H.W.A. Nap	20ste eeuw
F.S. Jungschlager	20ste eeuw
Gert-Jan Johannes	1951
Theo Meder	1960
P.G. de Bruijn	1965
Jan Oegema	1963
Freddy Puts	20ste eeuw
Marika Keblusek	1965
Bernd Albers	20ste eeuw
Soetje Oppenhuis de Jong	1947
Wolfgang Herrlitz	1943
L.J. de Regt	20ste eeuw
Mieke van Dalen	20ste eeuw
Marijke de Roeck	20ste eeuw
Leo Jansen	1960
Jacqueline Hulst	1961
Wiep van Bunge	1960
Joyce Pennings	20ste eeuw
E.A. Overgaauw	1957
R.I.A. Nip	1945
Beppie van de Wege-de Rooy	1967
Irene Chr. Blasczyk	20ste eeuw
Thom Mertens	1953
Elisabeth Paling Funk	20ste eeuw
Eric Hoekstra	1960
A.M.J. van Buuren	20ste eeuw
Ardi Roelofs	20ste eeuw
Koen Goudriaan	1950
Joke Nijhuis	20ste eeuw
C.C.M van Wissen	20ste eeuw
Louis Herreboudt	22 december 1803
Ton van der Wouden	20 september 1958
A.E.M. Sturm	20ste eeuw
A. Bouwman	20ste eeuw
N.J.P. van der Lof	1952
H. Bonset	1944
Willem Visser	18 juni 1959
Jan Kuys	1952
Josien Brink-Hendriks	20ste eeuw
Joost Zwarts	1964
Luuk Lagerwerf	1962
Gert Jan de Vries	1963
Jan Bloemendal	23 juni 1961
Frank de Glas	1952
Michiel Leezenberg	1964
Marjolein Hogenbirk	30 april 1966
Louis Peter Grijp	23 januari 1954
Petra Hendriks	10 augustus 1964
Mark Kas	1961
Liesbeth Laport	20ste eeuw
Renée van Bezooijen	1952
Goudina van Weert	?
Bernadette Smelik	1966
Erwin Mantingh	1963
Jochen Becker	1944
Elisabeth Kappner	20ste eeuw
Pyter Wagenaar	20ste eeuw
René van Stipriaan	22 november 1959
Lisa Kuitert	1960
Corrie de Haan	1969
Annemieke Meijer	20ste eeuw
André Bouwman	1958
Ben Peperkamp	21 april 1959
Kiki Hannema	20ste eeuw
Olga van Marion	23 juli 1961
Norbert Corver	1963
Enny de Bruijn	1968
Emmeken van der Heijden	1967
Jozien Moerbeek	1953
Dominique de Vet	20ste eeuw
Roel Zemel	1949
Erica van Boven	18 juli 1952
Louis Cornelis	1941
Nelleke Moser	8 mei 1970
P.J.A. Franssen	1956
Nel van Dijk	1963
Daniël Janssen	1961
Alex de Jager	20ste eeuw
Andrzej Dabrówka	1949
W.R.D. van Oostrum	1943
V.E. de Gruiter	10 juni 1914
Bertram Mourits	1969
Ruth Beijert	1966
Dorthe Schipperheijn	20ste eeuw
Petra Teunissen-Nijsse	20ste eeuw
Hans Broekhuis	1959
Bernard Shaw	26 juli 1856
J. Haesaert	20ste eeuw
Marcel Poot	7 mei 1901
Gerard van Elden	1923
Eugenie Boeye	18 februari 1903
Karl Renner	14 december 1870
Tonny van der Horst	1915
C. Heymans	28 maart 1892
Louis de Groof	1913
Jos Coveliers	1912
Frank de Langhe	20ste eeuw
Richard Declerck	31 december 1899
J.F. Willems	11 maart 1793
Julien de Valckenaere	26 februari 1898
Hugo Walschap	1926
Guillaume Apollinaire	26 augustus 1880
D.J. Opperman	1914
Theo Goffa	20ste eeuw
Frank Gerdels	1917
Frans Smekens	17 februari 1910
Henk van Otterloo	20ste eeuw
Louis Paul Boon	15 maart 1912
Frank Craeybeckx	6 februari 1924
Piet Heus	20ste eeuw
R. Miry	20ste eeuw
Joris Blondiau	1920
Peter van der Wildt	20ste eeuw
Eva Vlame	20ste eeuw
Herwig Hensen	22 januari 1917
Josee van Dirickx	20ste eeuw
Hendrik Brehmen	20ste eeuw
A. van Bladel	20ste eeuw
Marcel Demeulenaere	20ste eeuw
Josephus Hendrikus Cornelis Creyghton	17 februari 1901
M. Kapteyn	20ste eeuw
N.P. van Wyk Louw	11 juni 1906
Lucien Brulez	9 juli 1891
Jan Bosquet	12 augustus 1887
Rolande	20ste eeuw
Valère Coopmans	1921
Pliet van Lishout	22 juni 1920
Stéphane Mallarmé	18 maart 1842
Marc Moonen	1921
Gerard van der Kuyp	1942
Erik Thys	20ste eeuw
Clare Lennart	21 juli 1899
Wim Meewis	7 juli 1926
Guy Voets	20ste eeuw
Henri Bossaert	18 mei 1936
Joseph Leliard	20ste eeuw
Walter Volkaert	20ste eeuw
Pieter de Prins	24 mei 1926
A. Merckx	20ste eeuw
Julius Valckenaere	2 november 1866
Constance Teichmann	16 juni 1824
Jozef Cantré	26 december 1890
Jan Verley	17de eeuw
Rogier Marijnissen	1923
Hugo Brutin	22 augustus 1933
Fjodor Sologoeb	1 maart 1863
Ankie Peypers	29 september 1928
V.I. Lenin	22 april 1870
P.M. van der Vrecken	13 december 1777
Jef Geeraerts	23 februari 1930
[tijdschrift] Nieuw Vlaams Tijdschrift	
Jean-Marie Maes	1951
Tymen Trolsky	3 juni 1948
Raymond Vervliet	1939
Rob Bartels	20ste eeuw
Johannes de Bruyn	1681
Serge Govaert	20ste eeuw
Gertrude Stein	1874
Michel Leclerc	20ste eeuw
Luc Pierre Maes	29 mei 1948
Philippe Cailliau	18 juli 1954
Marc Bruynseraede	1943
Stephen Crane	1 november 1871
Rudy de Rybel	20ste eeuw
Hubert	20ste eeuw
Jaak van Schoor	1939
Jan Vanriet	1948
C.C. Krijgelmans	9 januari 1934
Wim de Poorter	1939
Jana Beranová	2 mei 1932
Eleonore Vigenon	1938
André Lefevere	1945
Dominique Mys	20ste eeuw
Daniël van Hecke	25 januari 1938
Konstantínos Kaváfis	29 april 1863
Eric Rinckhout	20ste eeuw
Gérard de Nerval	1808
Franc Schuerewegen	20ste eeuw
Eriek Verpale	2 februari 1952
Hugo von Hofmannsthal	1874
Luk De Vos	20ste eeuw
Hans Turken	20ste eeuw
Lidy van Eijsselsteijn	3 juni 1904
Anna Mertens	20ste eeuw
Anna de Noailles	15 november 1876
Andries Dongera	20ste eeuw
Dieuw Schepel	1910
Dingeman van der Stoep	17 september 1906
J.A. Risseeuw	20ste eeuw
Pieter Korthuys	11 september 1898
Inge Lievaart	14 april 1917
Hans Barendregt	6 juni 1910
D.I. Bouman-Eringa	20ste eeuw
M. 't Hooft	20ste eeuw
Jacoba M. Vreugdenhil	1913
Arjen Miedema	1902
Jan Elzo Niemeijer	1922
P. Eringa	20ste eeuw
[tijdschrift] Ontmoeting	
H. Mulder	20ste eeuw
Neels Everards	20ste eeuw
Jo van Dorp-Ypma	23 februari 1908
Jan Dolfering	20ste eeuw
Cor Alons	20ste eeuw
M. Siesling	20ste eeuw
C. Ouboter	1914
J.C. Schuller	20ste eeuw
Peter v.d. Braken	20ste eeuw
Wilma	14 mei 1873
Anthonie Stolk	26 oktober 1916
L.H. Stronkhorst	
Jaap Das	1911
P.A. Hekstra	20ste eeuw
W.G. Scheeres	20ste eeuw
Johan West	20ste eeuw
C.J. Nobel	20ste eeuw
Gerda Meylink	20ste eeuw
Henk Krijger	1914
Jo Kalmijn-Spierenburg	26 mei 1905
H.J. van Boekhoven	20ste eeuw
H.H. Wilmink	20ste eeuw
Gera Kraan-van den Burg	12 december 1887
Agni van der Torre	
S.J. Popma	1899
Rie Bauer	20ste eeuw
G.E. Woneman	20ste eeuw
A. Wapenaar	1883
Willem M. Kruseman	20ste eeuw
P.O. Eet	20ste eeuw
G.R. v.d. Beek	20ste eeuw
Johan van Hulzen	1 juli 1891
J. van Doorne	16 februari 1908
K.J. Popma	1903
P.B. van Dalfsen	20ste eeuw
M.A. Rijnsburger	20ste eeuw
Gerrit Mulder	28 mei 1895
Jacob de Graaf	1882
Margreeth Woltjes	20ste eeuw
Mischa S. van den Bosch	20ste eeuw
Frans Leonard	20ste eeuw
Jan D. Stipes	20ste eeuw
A.H. Hulzenkamp	18de eeuw
S.P. Akkerman	20ste eeuw
B. Folkertsma	20ste eeuw
Frieda van Felden	
A. Middelhoek	20ste eeuw
A.H. Peters	20ste eeuw
J. Veerman	20ste eeuw
Else Wichers	20ste eeuw
Diet Kramer	25 april 1907
Aart Romijn	4 januari 1907
Walter Raleigh	1554
Jac. Kort	20ste eeuw
Niek van der Heide	20ste eeuw
J.W. Bonda	20ste eeuw
Feitse Boerwinkel	12 mei 1906
D. Hendrikse	20ste eeuw
Tjalling	20ste eeuw
M.G.J. Teerink	20ste eeuw
Arthur Hugh Clough	1 januari 1819
Louise Imogen Guiney	17 januari 1861
Huib A.P. Eijkelenboom	1929
Do van der Sloot	20ste eeuw
Ralph Degens	20ste eeuw
J.H. van der Starre	18 september 1924
W. Ruiten	20ste eeuw
Jan G. van Straaten	20ste eeuw
Okke Jager	23 april 1928
H. Boekenogen	20ste eeuw
J.G. Rikkert	20ste eeuw
G. Boogaard	20ste eeuw
John Henry uit den Bogaard	10 juli 1911
Charles Marie René Leconte de Lisle	22 oktober 1818
Franz Werfel	10 september 1890
H-K. Mulder	19de eeuw
Ab van Eijk	20ste eeuw
A.M. Spanjer	20ste eeuw
Willem Mudde	20ste eeuw
Félix Lope de Vega	1562
P.B. Shelley	4 augustus 1792
W.J. Schulte Nordholt	20ste eeuw
B. Nijenhuis	1914
Etus Alons-Bernhardt	20ste eeuw
Endre Ady	22 november 1877
N.H. Merkelijn	20ste eeuw
G.E. Mulder	20ste eeuw
Aize de Visser	20ste eeuw
J. Overduin	20ste eeuw
John Donne	22 januari 1572
Lien Fokker	20ste eeuw
M.H. Rijnsburger	20ste eeuw
Aad Hollebeek	20ste eeuw
A.J. Rijnsburger	20ste eeuw
Herman Steggerda	19de eeuw
Jan Das	20ste eeuw
Arie Nelemaat	20ste eeuw
M. Monsinga	20ste eeuw
Nora Petit	18 mei 1923
Constant Labruyère	20ste eeuw
Jan Rijnsdorp	20ste eeuw
Gré van der Laan	20ste eeuw
Marinus A. den Braber	20ste eeuw
H. Ravestein	20ste eeuw
Gerard van Hulst	20ste eeuw
Ev. Grolle	20ste eeuw
G.K. van Dongen	20ste eeuw
Jac. Lelsz	20ste eeuw
A. Mertens	20ste eeuw
D. Kilinow	20ste eeuw
A. Sterveen	20ste eeuw
Harro Storm	20ste eeuw
J.W. Veerman	20ste eeuw
J. Kramer-Vreugdenhil	1930
N. Sterveen	20ste eeuw
Frank Daen	15 mei 1918
Francine Schregel-Onstein	1918
Marius Goedhart	20ste eeuw
Gert Overduin	20ste eeuw
Jacques Reugebrink	20ste eeuw
Jan Stolk	22 december 1930
Johanna de Geus	20ste eeuw
M. Beinema	20ste eeuw
Fred van Viet	20ste eeuw
Ger Bendels	20ste eeuw
Freek de Leeuw	20ste eeuw
Dirk van der Ploeg	20ste eeuw
F. Springer	15 januari 1932
Henk Kooijman	10 oktober 1928
Stuart B. Jackman	20ste eeuw
Adriaan Donker	28 december 1908
H. de Jongste	20ste eeuw
Elsa Sophia von Kamphoevener	14 juni 1878
M.C. v.d. Panne	20ste eeuw
Daan Mondgaas	20ste eeuw
Günter Eich	1 februari 1907
Yvan Goll	29 maart 1891
Hans Arup	20ste eeuw
C yrus Ataban	20ste eeuw
Walter Toman	20ste eeuw
Peter Berghe	20ste eeuw
Fred. van Zutphen	20ste eeuw
G. van Heerde	19de eeuw
Arie Vermeer	20ste eeuw
Luitzen Visser	20 februari 1936
Ineke Sikkema	20ste eeuw
Jan Verhoef	1933
Dick Steenkamp	21 september 1924
Jarry Duclay	1931
Luc von Seller	20ste eeuw
Ubbo-Derk Hakholt	1921
Jan van Biezen	22 april 1927
N.H. Ridderbos	1910
Durk van der Ploeg	6 september 1930
Nico Rigter	20ste eeuw
Bill Kroekow	20ste eeuw
J.G. van der Veen	20ste eeuw
Lode Bisschop	17 augustus 1921
Frederice Kalmijn	5 oktober 1937
Jean Brüll	1932
Wim Pendrecht	1930
L. Schultz	20ste eeuw
Heppe de Moor	20ste eeuw
Wim Brinkman	1936
Jan Sleeboom	1917
Eric Marloux	20ste eeuw
Theo van Roon	20ste eeuw
Marianne Colijn	11 mei 1922
G. Burger	20ste eeuw
P. Ruysch van Dugteren	20ste eeuw
Elisabeth Wolters	20ste eeuw
Hans de Boer	20ste eeuw
Anneke Geluk	
L. de Liefde	20ste eeuw
Jaap Zijlstra	5 september 1933
Govert A. den Hartogh	20ste eeuw
Gert Slings	19 januari 1938
William Wordsworth	1770
Jan ter Horst	20ste eeuw
Tom Naastepad	1921
Johan Schooneberg	20ste eeuw
Bert Jansma	1942
Rob Scherjon	1938
Anton B. Lam	1926
Tom Etty	20ste eeuw
S.H. Haan	20ste eeuw
Frans van der Linde	20ste eeuw
Gerd Segers	1938
Jan C. Brouwer	20ste eeuw
R.G.K. Kraan	2 augustus 1926
Marijke Baars	20ste eeuw
W.N. Visserman	20ste eeuw
Murk A. J. Popma	1940
Cees van Dop	20ste eeuw
Nelleke Groenewegen	20ste eeuw
Dick Zaal	20ste eeuw
Jan J. Abels	20ste eeuw
Mei Hwa Tan	20ste eeuw
Kees Ouboter	20ste eeuw
Jan van Royen	20ste eeuw
John Keats	31 oktober 1795
Marie-Sophie Nathusius	19 juni 1906
Jan D. 't Lam	30 april 1937
Sifra Hugorina	20ste eeuw
Jan Donia	1938
Paul Wessel	20ste eeuw
Wim Bazuynen	20ste eeuw
Hans Dullaart	20ste eeuw
Eric Heidbuchel	1938
Hans Bouma	1941
Anno van Workum	20ste eeuw
Jan Sizoo	1937
Frans Vanderlinde	20ste eeuw
Maja Burghout	20ste eeuw
Teije Brattinga	24 februari 1929
Roel van Heerde	20ste eeuw
Jo Datema	20ste eeuw
William Blake	28 november 1757
William Butler Yeats	1865
G. Tuil	20ste eeuw
Arnold van Dijk	20ste eeuw
A. de Kool	20ste eeuw
P. van Amstel	17de eeuw
Albert Nap	20ste eeuw
J.F.M.J. Jansen	20ste eeuw
D.J. Sikkens	20ste eeuw
A.J. van Dulst	20ste eeuw
Peter van Amstel	20ste eeuw
Pierre de Ronsard	september 1524
Philippe Desportes	1546
Alexander West	20ste eeuw
Frederice van Faassen	20ste eeuw
J. Deschamps	1 januari 1917
Bert Verm	1941
Emiel Willekens	23 februari 1922
J. Noë	1913
Aloïs Gerlo	29 januari 1915
Cola Minis	1912
Albert Deblaere	1916
D. Geeraerts	20ste eeuw
Karel Deleu	20ste eeuw
Willem van Eeghem	10 oktober 1888
Lucie Roobrouck	4 september 1979
Willem de Jong	11 maart 1812
Felisberto Hérnandez	1902
Johann Damiaan Degreef	31 maart 1894
Maria-Augusta Jacobs	1908
Hugo Dyserinck	5 augustus 1927
J. Donkers	20ste eeuw
Gilbert De Smet	1921
Carlos Tindemans	1931
Lieve Scheer	1936
H. Vandermoere	24 oktober 1933
Nico de Vrede	20ste eeuw
Piet Thomas	20 april 1929
I. Demarre	20ste eeuw
K. Leus	20ste eeuw
E. van der Heijden	14 juni 1920
Colijn Caillieu	?
Herman Servotte	19 mei 1929
A. van Branteghem	20ste eeuw
Prosper Arents	23 januari 1889
F.H.M. Hertoghs	20ste eeuw
W.A.F. Janssen	22 september 1909
Koen Wauters	20ste eeuw
P.H. King	20ste eeuw
Louis Gillet	1931
Clem Neutjens	1928
Jan Persyn	1924
G. van Gorp	22 november 1782
Bert Kooijman	1932
D. Kuijper Fzn.	21 oktober 1907
Jef Barthels	20ste eeuw
P.S.N. Oost	20ste eeuw
J.P.M. Passage	1927
Marc Joye	20ste eeuw
P.Th. Elsinga	20ste eeuw
Gust Faes	20ste eeuw
J. Goffard	20ste eeuw
Louis Dieltjens	1939
L. Macken	20ste eeuw
C.L. Hap	20ste eeuw
Sonja Vanderlinden	1946
Irene Veenstra	20ste eeuw
Hugo De Schampheleire	20ste eeuw
F. Steyaert	20ste eeuw
Jan Schoolmeesters	1951
Michel Dupuis	1944
Jan de Piere	1941
Amand Berteloot	1950
Joannes Smeyers	1542
A. Wylleman	20ste eeuw
Rolf Italiaander	20 februari 1913
C. Angelet	20ste eeuw
M.S.J. Cox-Andrau	11 april 1907
Lieven D' Hulst	1954
Beatrijs De Groote	20ste eeuw
Karel Wauters	1943
A.J. Hanou	13 april 1941
Els Rauschenberg	20ste eeuw
Ingrid van de Wijer	1955
Dorian Cumps	1956
Luc Libaut	20ste eeuw
Paul Schampaert	20ste eeuw
Willy L. Braekman	oktober 1931
J. Huyghebaert	1943
Pascal Tasiaux	1957
Karel Hellemans	1944
J. Delsing	18de eeuw
Gisleine Peeters	20ste eeuw
Arie Zevenhuijzen	20ste eeuw
Viviane Geuffens	20ste eeuw
Martha Gerlo	20ste eeuw
N. Rowan	20ste eeuw
Ludo Verbeeck	20 maart 1925
Bert Schreurs	20ste eeuw
Luc Dirikx	20ste eeuw
Piet de Keyser	1955
Jan Muylle	20ste eeuw
Bart Philipsen	1961
Jan Roelans	1961
Erik Hertog	1946
Theo Coun	1945
Rik Van Daele	15 juni 1962
Ignace Bossuyt	1947
Jan Herman	
Joris Vlasselaers	1935
Robert Vandeputte	26 februari 1908
Jos. Deckers	20ste eeuw
R. van Ooteghem	19de eeuw
K. du Bois de Vroylande	19de eeuw
R. Verschroeven	20ste eeuw
C. de Bievre	20ste eeuw
Hugo Vandeperre	20ste eeuw
F. De Raedemaeker	1894
A. Wuyts	20ste eeuw
Ad. Jansen	19de eeuw
R. Goris	20ste eeuw
J. Hoet	20ste eeuw
Gaston Van Bulck	1903
J. Verelst	20ste eeuw
K. van Baarle	20ste eeuw
Juliaan Vervoort	19de eeuw
Albert Van den Daele	9 januari 1904
M. Dufraing	19de eeuw
Alb. Raignier	20ste eeuw
Alex Harlssen	20ste eeuw
A.J. Michielsen	20ste eeuw
Peeters	20ste eeuw
M.F. Schurmans	8 januari 1909
Louis H.M. Monden	1911
J. De Munter	20ste eeuw
H. Robbers	13 december 1894
L. Arts	1901
Jan van Gorp	1883
A. Dockx	20ste eeuw
F. Beyers	20ste eeuw
J.M. Eylenbosch	19de eeuw
J. Christelbach	19de eeuw
J. Donceel	19de eeuw
L. Verhaegen	19de eeuw
E. Verstraelen	19de eeuw
Fernand Van Goethem	1 augustus 1895
J. Nolf	20ste eeuw
A. De Raedt	19de eeuw
H. Bruders	19de eeuw
L. Elaut	26 december 1897
E.J. Vandenbussche	19de eeuw
W. Matthijs	19de eeuw
Angelo Brucculeri	
H. Thielemans	19de eeuw
K.M. Houtaar	19de eeuw
J. Valk	19de eeuw
Maria Gerarda	19de eeuw
A. Seeldraeyers	20ste eeuw
Alb. Block	19de eeuw
P. Lassalle	19de eeuw
J. van Heugten	7 maart 1890
August Brunner	3 januari 1894
Emiel van Coppenolle	2 mei 1890
W. Arts	19de eeuw
Hub. Gesp	19de eeuw
P. Nelis	19de eeuw
H.F. Koster	1899
G. De Wolf	20ste eeuw
F. Schröder	19de eeuw
Maurice Claeys Bouuaert	19de eeuw
A. Snoeck	20ste eeuw
V. Uyttenbroeck	20ste eeuw
R. Dellaert	1906
J.I. Corrigan	19de eeuw
B. De Wint	19de eeuw
C. Dumortier	19de eeuw
P. Indekeu	20ste eeuw
G. Geniets	19de eeuw
F. Bouchout	19de eeuw
E.A. Ryan	19de eeuw
A. Grootjans	19de eeuw
A. Antonissen	19de eeuw
Jan Jozef van Laer	1908
Arthur Van Hoof	1899
L.G. Polspoel	19de eeuw
W. De Roy	19de eeuw
A. Seeldrayers	19de eeuw
Marcel van Caster	20ste eeuw
Reinhold Van Lennep	20ste eeuw
R. Caron	20ste eeuw
A. Darquennes	14 september 1909
L. Verelst	20ste eeuw
A. de Guchteneere	20ste eeuw
J. Volckaert	20ste eeuw
L. Vander Kerken	1910
P. de Bruin	20ste eeuw
Yves de La Brière	1877
E. de Strycker	20ste eeuw
L. Rood	20ste eeuw
Constantinus	1885
M. van Stratum	20ste eeuw
L. De Sousberghe	1903
J.B. Poukens	1882
L. Moereels	1899
E. van Stratum	20ste eeuw
Jan van Kilsdonk	1917
W. Cracco	20ste eeuw
Arthur Thomas	20ste eeuw
A. Blok	20ste eeuw
J. De Jaegher	20ste eeuw
H. Geerts	20ste eeuw
W. Koch	20ste eeuw
J. Arts	20ste eeuw
Renatus Hardeman	1 januari 1876
L. Moreels	20ste eeuw
Crispinus Smits	1898
C. Kock	20ste eeuw
Edouard Dhanis	1902
P. Van Campenhout	20ste eeuw
Jozef Maes	1882
de Caigny	20ste eeuw
R. van Lennep	16de eeuw
J. Van den Bossche	20ste eeuw
W. Talloen	19de eeuw
M. Schurmans	1901
J. Mertens	20ste eeuw
P. Ellerbeek	20ste eeuw
E. Bergh	20ste eeuw
F. Bellens	20ste eeuw
C. Poelmans	20ste eeuw
J.E. Schulte	19de eeuw
Jozef Mertens	1921
J. Theyskens	20ste eeuw
Pierre Hoenen	1880
Michiel Dierickx	25 juni 1909
Karel van Isacker	26 juni 1913
L. Baudez	20ste eeuw
Alex. De Bil	20ste eeuw
J. Jageneau	20ste eeuw
Jan Verhavert	20ste eeuw
J. Libbrecht	20ste eeuw
J. van Assche	20ste eeuw
Otto Forst de Battaglia	19de eeuw
Philippe Joseph Aimé van Isacker	18 december 1884
Walter F. Smet	1915
J. Schul	20ste eeuw
A. Reynaert	20ste eeuw
Hubert Peeters	26 februari 1919
G. Neefs	20ste eeuw
P. Goedertier	20ste eeuw
Alb. Hernould	20ste eeuw
W. van Dingenen	20ste eeuw
F. de Cleyn	20ste eeuw
Clemens Maria Beukers	1909
C. Schöller	19de eeuw
Maurice De Tollenaere	20ste eeuw
A.T.W. Bellemans	1 augustus 1901
L. Van Damme	20ste eeuw
Rianne Jansen	20ste eeuw
R. Leijs	20ste eeuw
E. Cappoen	20ste eeuw
Albert Dondeyne	10 mei 1901
Diotimos	20ste eeuw
J. Bogaerts	19de eeuw
B. Spaapen	1912
E. De Cooman	20ste eeuw
J. Smets	20ste eeuw
Fr. van Baarle	20ste eeuw
M. van den Daele	20ste eeuw
Marcel Janssen	15 juni 1903
Pieter Frans Fransen	1913
Karel de Winter	16 april 1889
C.D.C. Leuven	20ste eeuw
J. De Fraine	20ste eeuw
A. Taymans	20ste eeuw
Louis Sourie	24 mei 1910
Marc Dykmans	20ste eeuw
Em. Peeters	20ste eeuw
Jozef Marechal	15 oktober 1911
Marcel Duchateau	1914
G. Van Cutsem	20ste eeuw
Bern. Spaepen	20ste eeuw
A. Poncelet	20ste eeuw
L. Vanderkerckhove	20ste eeuw
B. van Ogtrop	20ste eeuw
Albert Boone	8 maart 1917
Jacob Janszoon Colevelt	1595?
H. Walgrave	20ste eeuw
Emiel van der Donck	1902
H. Peeters	20ste eeuw
Paul De Vuyst	19de eeuw
J. Köhlbrugge	20ste eeuw
Louis Sterkens	1912
Joseph van der Meersch	1 maart 1868
J.M.L. Demeyere	20ste eeuw
L. van der Bossche	20ste eeuw
W. Luyten	20ste eeuw
J. Cuypers	20ste eeuw
L. van de Kerckhove	19de eeuw
Fons Lambrechts	20ste eeuw
C. Pickery	20ste eeuw
R. D'hondt	20ste eeuw
O. van de Vijver	20ste eeuw
Albert Kluyskens	6 september 1885
Wilfried Luyten	1946
J. van Torre	20ste eeuw
F. Callebaut	20ste eeuw
Antoon Fimmers	19de eeuw
Jos. Burvenich	18 augustus 1914
J. Rommens	20ste eeuw
Jan Olav Smit	1883
L. van Hulle	19de eeuw
J.W. Ludwig	19de eeuw
Max de Cock	19de eeuw
Werenfried van Straaten	1913
Hippoliet Meert	11 april 1865
C.H. Peeters	1880
Henricus de Blieck	1907
Fil. de Ridder	1911
Jef de Beus	20ste eeuw
Leo Lindemans	20ste eeuw
René Carpentier	20ste eeuw
J. Verwimp	20ste eeuw
Arthur Janssen	1886
Andreas Nicolaas Metz	19de eeuw
Stanislas van de Velde	19de eeuw
't Haakstertje	19de eeuw
J. Talloen	20ste eeuw
Leo Symoens	19de eeuw
Jan de Roeck	19de eeuw
M.C. Arnemann	20ste eeuw
Louis Bruyns	15 januari 1919
I. De la Potterie	1914
Nabor Devolder	22 februari 1909
A. Verbist	20ste eeuw
Jos Windey	20ste eeuw
A. Meeus	20ste eeuw
Jean Masson	ca. 1680
M. Deckers	20ste eeuw
D. Merlevede	18 november 1911
J. Nuttin	7 november 1909
L.P. van den Bergh	20ste eeuw
H.L. van Breda	20ste eeuw
Louis van Haecht	24 augustus 1917
M. de Brabandere	20ste eeuw
P.W. Smet	20ste eeuw
M. Mesotten	20ste eeuw
G. Homble	20ste eeuw
Jos Philippen	1912
G. Huyghe	30 juni 1920
Fr. Maeyens	20ste eeuw
P. Ronse	20ste eeuw
Fl. Bertiau	20ste eeuw
W. de Weerdt	20ste eeuw
Jozef Andriessen	2 december 1917
Leo De Wachter	1901
A. Smits	1914
K.C. Peeters	29 december 1903
Aimé de Cort	12 februari 1883
Jan de Schuyter	24 juni 1889
Alfred Scheers	20ste eeuw
L. Victor V. Edmond	20ste eeuw
H.M.H.A. van der Valk	1905
R. Vanalderweireldt	1903
Rika De Backer-Van Ocken	1923
J. Lebeer	20ste eeuw
G. Garmijn	20ste eeuw
Valentinus Morel	20ste eeuw
Gaston Eyskens	1 april 1905
F.X. van der Straten-Waillet	1910
Paul Maria Jozef de Meester	1916
Monique Darge	11 mei 1952
H. Bauweraerts	20ste eeuw
Alb. Decoene	22 juni 1881
Pierre de Beus	20ste eeuw
Tony Herbert	26 juli 1902
Richard Teunissen	1912
Louis Wachters	1905
M. Oris	20ste eeuw
Juliaan Haest	9 mei 1912
Léon	12 mei 1890
Florimond Lox	20ste eeuw
Francis van den Broeck	20ste eeuw
Antoinette Buckinx-Luykx	4 augustus 1903
Hendrik van Tichelen	6 maart 1883
Robert Kothen	1900
Jacques E. Mertens	20ste eeuw
L. Mestdagh	1 september 1916
